Run time (s),Round,Exception,deadline,Agreement,Discounted,#agreeing,min.util.,max.util.,Dist. to Pareto,Dist. to Nash,Social Welfare,Agent 1,Agent 2,Utility 1,Utility 2,Disc. Util. 1,Disc. Util. 2,Perceived. Util. 1,Perceived. Util. 2,Profile 1,Profile 2,Domain,Utility product
2.365,954,,1000rounds,Yes,No,2,0.81509,1.0,0.0,0.1949,1.81509,HardDealer,SAGA,1.0,0.815089962283641,1.0,0.815089962283641,1.0,0.817694884013543,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.815089962283641
2.513,997,,1000rounds,Yes,No,2,0.72535,1.0,0.0,0.13911,1.72535,SAGA,HardDealer,0.725352816943306,1.0,0.725352816943306,1.0,0.702325730884368,1.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.725352816943306
4.97,984,,1000rounds,Yes,No,2,0.16358,1.0,0.0,0.64756,1.16358,HardDealer,KAgent,1.0,0.163577281235707,1.0,0.163577281235707,1.0,0.883679516970968,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.163577281235707
4.874,988,,1000rounds,Yes,No,2,0.21206,1.0,0.0,0.5368,1.21206,KAgent,HardDealer,0.212060628840022,1.0,0.212060628840022,1.0,0.883964828032672,1.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.212060628840022
1.893,991,,1000rounds,Yes,No,2,0.16358,1.0,0.0,0.64756,1.16358,HardDealer,KAgent,1.0,0.163577281235707,1.0,0.163577281235707,0.999999999999999,0.750312947112926,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.163577281235707
1.67,1000,,1000rounds,Yes,No,2,0.49435,0.80773,0.0,0.1965,1.30208,KAgent,HardDealer,0.494350122502004,0.807726120056322,0.494350122502004,0.807726120056322,0.327199572785026,0.821552920027776,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.3992995063979112
1.841,1000,,1000rounds,Yes,No,2,0.20203,0.91767,0.05384,0.57488,1.1197,HardDealer,KAgent,0.917665564348588,0.202032057224443,0.917665564348588,0.202032057224443,0.925741648126759,0.421148550034772,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.18539786180937473
1.94,991,,1000rounds,Yes,No,2,0.21206,1.0,0.0,0.5368,1.21206,KAgent,HardDealer,0.212060628840022,1.0,0.212060628840022,1.0,0.733586878151318,0.999999999999999,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.212060628840022
2.257,998,,1000rounds,Yes,No,2,0.21139,0.97068,0.0,0.59148,1.18208,HardDealer,KAgent,0.970682271316616,0.211394160161577,0.970682271316616,0.211394160161577,0.964655736181228,0.552286077512898,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.20519656352870805
2.371,995,,1000rounds,Yes,No,2,0.21206,1.0,0.0,0.5368,1.21206,KAgent,HardDealer,0.212060628840022,1.0,0.212060628840022,1.0,0.691424297763125,1.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.212060628840022
2.537,1001,,1000rounds,Yes,No,2,0.20066,0.78134,0.156,0.53215,0.982,HardDealer,KAgent,0.781339685196471,0.200661629395615,0.781339685196471,0.200661629395615,0.753712648865154,0.287063768533932,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.15678489434298076
